full_name,email,phone,password
Melanie O'Connell,melanieo'connell@labms.com,+254-7410-929-535,O'Connell&5358
Dwight Corwin,dwightcorwin@labms.com,+254-5286-849-504,Corwin!3346
Anita Cronin,anitacronin@labms.com,+254-5163-582-672,Anita#&8218
Ramiro Crist,ramirocrist@labms.com,+254-2095-303-405,Ramiro!7931
Bernadette Zboncak,bernadettezboncak@labms.com,+254-3962-551-425,Bernadette#&8824
Ricardo Lockman,ricardolockman@labms.com,+254-5790-716-957,Ricardo#8532
Daniel Price Jr.,danielpricejr.@labms.com,+254-8675-499-924,Price&9052
Lee Kling,leekling@labms.com,+254-5558-937-778,Lee#&2685
Mrs. Irving Schuster,mrs.irvingschuster@labms.com,+254-8366-490-225,Schuster!5984
Kelly Wolf DVM,kellywolfdvm@labms.com,+254-2616-381-396,Wolf#4645
Traci Morar,tracimorar@labms.com,+254-0288-999-126,Traci!771
Dewey Hudson,deweyhudson@labms.com,+254-6980-079-864,Dewey&6214
Beverly Hahn DVM,beverlyhahndvm@labms.com,+254-0106-682-680,Beverly#&8539
Garrett Blick,garrettblick@labms.com,+254-1433-051-105,Garrett&9266
Glen Armstrong,glenarmstrong@labms.com,+254-4475-875-055,Glen@!8092
